No,Perusahaan,Alamat,KBLI
12912.,PR Baiti Azizah,"JL MUARA PANTAI, Sungaicuka, Satui, Kabupaten Tanah Bumbu, Kalimantan Selatan Telp. 085*********",10794
12913.,PR Baitul,"Kp. Pasar 60, Batang Arah Tapan, Basa Ampek Balai Tapan, Kabupaten Pesisir Selatan, Sumatera Barat Telp. +6282285216556",11052
12914.,PR Baiturohmaan,"Cerme VIII RT 32 RW 16, Cerme, Panjatan, Kabupaten Kulon Progo, DI Yogyakarta Telp. 087*********",10216
12915.,PT Baja Abadi Sejahtera,"Jl. Sidojangkung, SidoJangkung, Menganti, Kabupaten Gresik, Jawa Timur Telp. 081*********",24101
12916.,PT Baja Abadi Sentosa,"Jalan Raya Sultan Agung KM 28, KaliBaru, Medan Satria, Kota Bekasi, Jawa Barat Telp. 087*********",25111
12917.,PT Baja Atap Indo Makmur,Telp.,
12918.,PT BAJA BAHANA UTAMA,"Komplek Batik Kav.5, Mekar Wangi, Cikarang Barat, Kota Bekasi, Jawa Barat Telp. 021 - 22522853",25111
12919.,PT Baja Bintang Merah,"Jl. Gunung Kelir Raya No.11, Kelurahan Karanganyar, Kec. Tugu, Kota Semarang, Provinsi Jawa Tengah, Karanganyar, Tugu, Kota Semarang, Jawa Tengah Telp. 081*********",
12920.,PT BAJA CENTRAL ANUGRAH,"PERGUDANGAN 99 BLOK M No. 15-17 SALEMBARAN KM 4 DADAP, Cengklong, Kosambi, Kabupaten Tangerang, Banten Telp. 021-22647576",25111
12881.,PR Baiq Leni Yusmana,"Banjar Wanasari, Ekasari, Melaya, Kabupaten Jembrana, Bali Telp. 085*********",10732
12882.,PR Baiq Lily Anggriani Wahyuningsih,"Dusun Adu, Adu, Hu'u, Kabupaten Dompu, Nusa Tenggara Barat Telp. +6282340356030",10792
12883.,PR Baiq Lis Agustina Ramdhoni,"Kamp. Tukang Dusun Kopang I, Kopang Rembiga, Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Barat Telp. 081*********",10710
12884.,PR BAIQ MARIANI,"RT. 06, Dusun Beririjarak Selatan, Beriri Jarak, Wanasaba, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. 081*********",10761
12885.,PR Baiq Meyra Achriana,Telp.,
12886.,PR Baiq Murniawati,Telp.,
12887.,PR Baiq Naili Wahdani,"DUSUN BELAMBANG SARI, Suela, Suwela, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. 085*********",10710
12888.,PR Baiq Nia Mulseptiana,"Dsn Mantun Timur RT 002 RW 001, Mantun, Maluk, Kabupaten Sumbawa Barat, Nusa Tenggara Barat Telp. 081*********",10710
12889.,PR Baiq Nidya Rizki Karima,"Jln Sri Gunting  No. 50 Karang Jangkong, Cakranegara Barat, Cakranegara, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",10750
12890.,PR Baiq Nila Damarningsih,"Dusun Pajo Permai, Lepadi, Pajo, Kabupaten Dompu, Nusa Tenggara Barat Telp. 082*********",
12891.,PR Baiq Noviana Susanti,Telp.,
12892.,PR Baiq Nurhaeni,Telp.,
12893.,PR Baiq Nurhaida,Telp.,
12894.,PR Baiq Rahayu Rinjayani,"Jln Cutnya'dien RT 01, Sandu Baya, Selong, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. +6287863458817",10779
12895.,PR Baiq Rahmatul Aini,"Jl. Melati RT 002/RW 001 Watujara Kel. Mautapaga Kec. Ende Timur Kab. Ende, Mautapaga, Ende Timur, Kabupaten Ende, Nusa Tenggara Timur Telp. 085*********",10614
12896.,PR Baiq Riska Martiningsih,"Jalan Sultan Hasanudin, Leneng, Praya, Kabupaten Lombok Tengah, Nusa Tenggara Barat Telp. 085*********",10710
12897.,PR Baiq Rostiani,"Jln. Ragi Genap Gg. Anggrek No. 1 Banjar, Banjar, Ampenan, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",10799
12898.,PR BAIQ SEPTIANA SIRTUVIL LAELI,"MONTONG SARI, Pringgabaya, Pringgabaya, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. +62 878-6339-3660",10710
12899.,PR Baiq Silaturrohmi,"BATU BANGKA, Desa/Kelurahan Sakra, Kec. Sakra, Kab. Lombok Timur, Provinsi Nusa Tenggara	Barat, Sakra, Sakra, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. 081*********",10710
12900.,PR Baiq Siti Aisyah,"KILANG SELATAN, Kilang, Montong Gading, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. 087*********",10794
12861.,PR Bainah,Telp.,
12862.,PR Bainar,"BARI AIR MARANGEK, Sicincin, 2x11 Enam Lingkuang, Kabupaten Padang Pariaman, Sumatera Barat Telp. -",10792
12863.,PR Bainatur Sidah,"Dusun Krajan RT 03 RW 01, Desa/Kelurahan Wotgalih, Kec. Yosowilangun, Wotgalih, Yosowilangun, Kabupaten Lumajang, Jawa Timur Telp. 085*********",13134
12864.,PR Baiq Atikah,"Jl. Raya Pesona Taman Elit Rinjani Asri Ireng Lauk, Jatisela, Gunungsari, Kabupaten Lombok Barat, Nusa Tenggara Barat Telp. 081********",10772
12865.,PR Baiq Budiatin,"Buse, Bunut Baok, Praya, Kabupaten Lombok Tengah, Nusa Tenggara Barat Telp. 087*********",10792
12866.,PR Baiq Dewi Cempaka,"desa darmaji, Darmaji, Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Barat Telp. 087*********",10772
12867.,PR Baiq Dewi Rinjani Sritanjung,"Jln. Brawijaya Regency Blok A-13 SGT KR. Bangket, Cakranegara Selatan, Cakranegara, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",
12868.,PR Baiq Dewi Septiana,"KEBUN BAWAK NURUL YAKIN, Kebun Sari, Ampenan, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",10792
12869.,PR Baiq Dori Arintika,Telp.,
12870.,PR Baiq Evi Irma Ariyanti,"JL. DR. WAHIDIN NO.10 B, Rembiga, Selaprang, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",10772
12871.,PR Baiq Febriana Lylia Faradisa,"JL ADI SUCIPTO PERUM GRIYA PESONA RINJANI BLOK A7, Pajarakan  Karya, Ampenan, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",14301
12872.,PR Baiq Fitria Hardianti,Telp.,
12873.,PR Baiq Hamdah,Telp.,
12874.,PR Baiq Hasni Mariyana,Telp.,
12875.,PR Baiq Holisa Diana,"GERUNUNG, Desa/Kelurahan Gerunung, kec.Praya, Kab.Lombok Tengah, Provinsi Nusa Tenggara Barat, Gerunung, Praya, Kabupaten Lombok Tengah, Nusa Tenggara Barat Telp. 087*********",11090
12876.,PR Baiq Indra Ade Rina,Telp.,
12877.,PR Baiq Jamiah,"Dusun Karang Desa, Pemenang Barat, Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat Telp. 085*********",10423
12878.,PR Baiq Khovifa Mir'atussholiha,Telp.,
12879.,PR Baiq Laeli Hidayah,Telp.,
12880.,PR Baiq Lasmining Sari,Telp.,
12841.,PR Bahussein Maswain,"JL. A.G Renuat, Masrum, Pulau Dullah Selatan, Kota Tual, Maluku Telp. 085*********",14111
12842.,CV Bahyu Perkasa,"KP. Kebon Kopi, Desa/Kelurahan Tanjung Burung, Kec. Teluknaga, Kab. Tangerang, Provinsi Banten, Tanjung Burung, Teluknaga, Kabupaten Tangerang, Banten, 15510, Telp. 021-82562099, Fax. 021-82562099, Tanjung Burung, Teluknaga, Kabupaten Tangerang, Banten Telp. 021-82562099",23957
12843.,PR Bai Kaliky,"Luhu Kampung Bunga II, Luhu, Huamual, Kabupaten Seram Bagian Barat, Maluku Telp. -",10212
12844.,PR Bai Suhendra,"Kp leuwidahutarikolot, Bojongmenteng, Leuwidamar, Kabupaten Lebak, Banten Telp. 085*********",10794
12845.,PT Baida Plastics Indonesia,"Kawasan Pergudangan dan Industri Tunas Bitung, Jl. Raya Serang KM 13,8 Blok C2 No 8-9, Pasir Jaya, Cikupa, Kabupaten Tangerang, Banten Telp. 081*********",20131
12846.,PR Baidi,"Dusun Makkol, Batu Bintang, Batumarmar, Kabupaten Pamekasan, Jawa Timur Telp. 087*********",12013
12847.,PR Baidillah,"Dusun Kokembang, Lebeng Barat, Pasongsongan, Kabupaten Sumenep, Jawa Timur Telp. +6281939045746",12011
12848.,PR Baidillah,"Desa BAJAK 1, Bajak I, Taba Penanjung, Kabupaten Bengkulu Tengah, Bengkulu Telp. 085*********",10399
12849.,PT Baidu Digital Indonesia,Telp.,
12850.,PR Baihajar Tualeka,Telp.,
12851.,PR Baihaki Jaya Putra,"Jl. Radin Jambat, Desa/Kelurahan Blambangan Umpu Kecamatan Blambangan Umpu Kabupaten Way Kanan, Blambangan  Umpu, Blambangan  Umpu, Kabupaten Way Kanan, Lampung Telp. 082*********",10761
12852.,PR Baihaki Munawar,"Gang Cempaka No 38 RT 04 RW 04, Lemahabang, Tanjung, Kabupaten Brebes, Jawa Tengah Telp. +6287737385872",32903
12853.,PR Baik Hidayati,"TEMBOK,	MONTONG BETER,	SAKRA BARAT, Desa/Kelurahan Montong Beter, Kec. Sakra Barat, Kab. Lombok Timur, Provinsi Nusa Tenggara Bara, Montong Beter, Sakra Barat, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. +6287859880580",10710
12854.,PT Baiksan Indonesia,"JL. BUMIMAS I NO. 7 CIKUPAMAS CIKUPA TANGERANG, Talaga, Cikupa, Kabupaten Tangerang, Banten Telp. 021 59403333",15114
12855.,PT BAILA CON AGUA,"JL. SAWIRA NO.1, KEROBOKAN, KUTA UTARA,, KEROBOKAN, KUTA UTARA, Kabupaten Badung, Bali Telp. 0361-8445956",14111
12856.,PR Baimah,"puruk cahu beriwit hulu, Beriwit, Murung, Kabupaten Murung Raya, Kalimantan Tengah Telp. 085*********",10399
12857.,PR Bainah,Telp.,
12858.,PR Bainah,"Desa Tabanio Rt. 01, Tabanio, Takisung, Kabupaten Tanah Laut, Kalimantan Selatan Telp. 085*********",10794
12859.,PR Bainah,"SUNGAI PAYANG RT. 12, Sungai Payang, Loa Kulu, Kabupaten Kutai Kartanegara, Kalimantan Timur Telp. 081*********",10794
12860.,PR Bainah,"Jl. Sungai tiram Rt,005, Sungainibung, Tungkal Ilir, Kabupaten Tanjung Jabung Barat, Jambi Telp. 083*********",10794
12821.,PT Bahtera Kharisma Abadi,"jalan salira, bojonegara, puloampel, Puloampel, Kabupaten Serang, Banten Telp. 082*********",
12822.,PT Bahtera Khatulistiwa Indonesia,"Jln. Lintas Sumatera, Bernai Kecamatan Sarolangun Kabupaten Sarolangun jambi 37481, Bernai, Sarolangun, Kabupaten Sarolangun, Jambi Telp. +62 811 7411 412",
12823.,PT Bahtera Laju Nusantara,"jalan Industri I No. 1, Utama, Cimahi Selatan, Kota Cimahi, Jawa Barat Telp. 022-6017730",13921
12824.,PT Bahtera Lautan Mulya,"JL. Marunda Makmur No. 20, Marunda, Cilincing, Kota Jakarta Utara, DKI Jakarta Telp. 081*********",33151
12825.,PT Bahtera Nusantara Bersatu,"Pergudangan Surya Balaraja Blok G No 2, Sentul Jaya, Balaraja, Kabupaten Tangerang, Banten Telp. 082*********",29200
12826.,PT Bahtera Pangan Sejahtera,"Jl. Asem 3 No.246, Duri Kepa, Kebon Jeruk, Kota Jakarta Barat, DKI Jakarta Telp. 081*********",20232
12827.,PT Bahtera Prima Persada,"Jl. RE Martadinata / Industri 2 No.3, Tanjung Priok, Tanjung Priok, Kota Jakarta Utara, DKI Jakarta Telp. -",33151
12828.,PT Bahtera Samudera Inti,"JL. Raya Karangawen (Semarang - Purwodadi) No.92, RT.005 RW.002, Brambang, Karangawen, Kabupaten Demak, Jawa Tengah Telp. 088**********",12011
12829.,CV BAHTERA SEJAHTERA TOBACCO,"JL. LINTAS JAMBI - KUALA TUNGKAL KM 32 RT 07 DUSUN KARYA LESTARI, MUNTIALO, BETARA, Kabupaten Tanjung Jabung Barat, Jambi Telp. 081*********",12011
12830.,PT Bahtera Tiga Engineering,"JL. BUKIT BARISAN, Tangkerang  Timur, Tenayan Raya, Kota Pekanbaru, Riau Telp. 081*********",30111
12831.,PT Bahtera Trinitas,"Kepatihan Industri 18 Gudang D2, Kepatihan, Menganti, Kota Surabaya, Jawa Timur Telp. 082*********",20222
12832.,PT Bahtera Tunas Perkasa,"KSB SME  & TRADE CENTER BLOK C-1F, Jatiwangi, Cikarang Barat, Kabupaten Bekasi, Jawa Barat Telp. 081*******",
12833.,CV Bahtera Yellow Indonesia,"RAYA PELEMWATU 189, PELEMWATU, MENGANTI, Kabupaten Gresik, Jawa Timur Telp.",
12834.,PR Bahtiar,Telp.,
12835.,PR Bahtiar,"Lingk. Puawang, Baruga Dhua, Banggae Timur, Kabupaten Majene, Sulawesi Barat Telp. 082*********",10423
12836.,PR Bahtiar,"Lingk. Tanete, Baruga, Banggae Timur, Kabupaten Majene, Sulawesi Barat Telp. 085*********",32903
12837.,PR Bahtiar Al Amin,"Jl. Sumber Bor Rt.004 Rw. 001, Genengan, Pakisaji, Kabupaten Malang, Jawa Timur Telp. 081*********",12011
12838.,PR Bahtiar Arizal,"Dusun Badang RT. 004 RW. 004, Ngoro, Ngoro, Kabupaten Jombang, Jawa Timur Telp. 085*********",10794
12839.,PR Bahtiar Efendi Sihombing,"DUSUN JALAN GEREJA, Kampung Padang, Pangkatan, Kabupaten Labuhanbatu, Sumatera Utara Telp. 082*********",25931
12840.,CV Bahtra Selatan,"Jl. Masuk Lapangan Bola, Desa Bete-Bete, Bete-Bete, Bahodopi, Kabupaten Morowali, Sulawesi Tengah Telp. 082*********",30111
13201.,PR Bambang,"SALAMA, Salama, Sabbang, Kabupaten Luwu Utara, Sulawesi Selatan Telp. 081*********",10722
13202.,PR Bambang,"Jalan Datuk Anggrat, Dusun Pusaka, Kadindi, Pekat, Kabupaten Dompu, Nusa Tenggara Barat Telp. 085*********",
13203.,PR Bambang Agung Subroto,"Jl.Blambangan 1 no 27, Bangetayu  Kulon, Genuk, Kota Semarang, Jawa Tengah Telp. 088*******",10779
13204.,PR Bambang Agus Wibowo,"Karangtal RT 21 RW 06, Plumbungan, Karangmalang, Kabupaten Sragen, Jawa Tengah Telp. 081*********",33121
13205.,PT BAMBANG DJAJA,"Ngoro Industrial Park (NIP) Block C1 No : 02, Lolawang, Ngoro, Kabupaten Mojokerto, Jawa Timur Telp. +62321 6815322",27113
13206.,PT Bambang Djaja,"Ngoro Industrial Park Blok C1 No. 2, Lolawang, Ngoro, Kabupaten Mojokerto, Jawa Timur Telp. 031-8438703",27113
13207.,PR Bambang Dwi Cahyono,"Jl. Angsa Laut, Labanan Jaya, Teluk Bayur, Kabupaten Berau, Kalimantan Timur Telp. 082*********",
13208.,PR Bambang Dwi Sutantomadi,"Jalan Tamansari RT 007 RW 002, Tanjung Uban Selatan, Bintan Utara, Kabupaten Bintan, Kepulauan Riau Telp. 081*********",10710
13209.,PR Bambang Eko Nurdiansyah,"Gunung Melati RT.006/002, Gunung Melati, Batu Ampar, Kabupaten Tanah Laut, Kalimantan Selatan Telp. 085*********",10794
13210.,PR Bambang Firmanto,Telp.,
13211.,PR Bambang Handoko,"Dusun Rambutan, Melati II, Perbaungan, Kabupaten Serdang Bedagai, Sumatera Utara Telp. 081*********",25933
13212.,PR Bambang Hariyanto,"Jalan Besi Raya No.33, Desa/Kelurahan Cibodas Baru, Kec. Cibodas, Kota Tangerang, Provinsi Banten Kode Pos: 15137, Cibodas Baru, Cibodas, Kota Tangerang, Banten Telp. 085*********",
13213.,PR Bambang Heri Purwianto,"Jl. Kolonel Sugiyono RT 003 RW 001, Pucangsewu, Pacitan, Kabupaten Pacitan, Jawa Timur Telp. 081*********",11052
13214.,PR Bambang Hermanto,Telp.,
13215.,PR Bambang Heru Santoso Dwi Irianta,Telp.,
13216.,PR Bambang Irawan,"Dusun Laja Permai, Paal, Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat Telp. 085*********",11052
13217.,PR Bambang Irawan,"DUSUN TEMENGGUNG, Sungai Itik, S a d u, Kabupaten Tanjung Jabung Timur, Jambi Telp. 081*********",10794
13218.,PR Bambang Irawan,"DUSUN SIDOMULYO, Sidomulyo, Air Naningan, Kabupaten Tanggamus, Lampung Telp. 00000",
13219.,PR Bambang Irawan Umar,Telp.,
13220.,PR Bambang Irwanto,"RT 002 RW 003, Kemurang Kulon, Tanjung, Kabupaten Brebes, Jawa Tengah Telp. +6287873111841",45407
13181.,PR Baliwa Songket Coliection,"Jl. Noja I Gg. IVA no. 1A Br. Abian Nangka Kelod, Kesiman Petilan, Denpasar Timur, Kota Denpasar, Bali Telp. 081*********",13122
13182.,PT BALMER LAWRIE INDONESIA,"Modern Cikande Industrial Estate (Jl. Raya Jakarta - Serang Km 68) Jl. Industri II No. 17-19, Cikande, Kibin, Kabupaten Serang, Banten Telp. 0254 402579",19212
13183.,CV Baloeng Gedhe Indonesia,"Jl. Penatusan, Purwokerto Wetan, Purwokerto  Timur, Kabupaten Banyumas, Jawa Tengah Telp. 088*********",14111
13184.,CV Balqis Trans Cv,Telp.,
13185.,CV Balqiz,"Jl. KH. Asyari No. 318, Desa/Kelurahan Kademangan, Kec. Bondowoso, Kab. Bondowoso, Provinsi Jawa Timur, Kademangan, Bondowoso, Kabupaten Bondowoso, Jawa Timur Telp. 081*********",31001
13186.,PT Balsa Indonesia New Energi,"Jl. Sultan Hadlirin RT.003 RW.001 Desa Ngabul, Kec. Tahunan, Kab. Jepara, Ngabul, Tahunan, Kabupaten Jepara, Jawa Tengah Telp. -",16221
13187.,PT Balsa Mandala Persada,"Desa Pelawan Jaya, Pelawan Jaya, Pelawan, Kabupaten Sarolangun, Jambi Telp. -",
13188.,PT Balsa Seram Lestari,"Besi Kecamatan Seram Utara Kabupaten Maluku Tengah Propinsi Maluku, Besi, Seram Utara, Kabupaten Maluku Tengah, Maluku Telp. 082*********",16101
13189.,PT Balsa Wood Indo Indah,Telp.,
13190.,PT Balton Kurnia Abadi,"Jl. Gatot Subroto - Kawasan Industri Candi Blok 12 No. 8, Purwoyoso, Ngaliyan, Kota Semarang, Jawa Tengah Telp. 02476436936",23953
13191.,PT Balton Kurnia Abadi,"Kawasan Industri Candi, Jl Gatot Subroto XII / 8, , , , Jawa Tengah Telp. 024-7626167",
13192.,PT Balya Azka Sejahtera Group,Telp.,
13193.,PR Balyan Ibnu Mulkan Siregar,"JALAN MESJID NO. 62A, Kesawan, Medan Barat, Kota Medan, Sumatera Utara Telp. 085*********",16293
13194.,PR Balza,Telp.,
13195.,PT Bama Prima Textile,"Jl. Tj. Pramuka no.512, Simbangwetan, Buaran, Kabupaten Pekalongan, Jawa Tengah Telp. 0285 427836",13121
13196.,PT Bama Putra Sarana Plastindo,"Jl. Industri II Blok M1 No. 7-8-9, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten Telp. 0215923113",22291
13197.,CV Bamata Berkah Sarana,Telp.,
13198.,PT Perorangan bamba Rattan Furniture,"JL. Setia Budi no 21 palu, Besusu Timur, Palu Timur, Kota Palu, Sulawesi Tengah Telp. 095241224660",31002
13199.,PR Bambang,"Kajar I, Karangtengah, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 628**********",25931
13200.,PR Bambang,"Dusun 1, Giri Mulyo, Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah Telp. 081*********",20294
13161.,PR Baliadi,"Lingk. Paleo Tobandaq, Pangali Ali, Banggae, Kabupaten Majene, Sulawesi Barat Telp. 082*********",95291
13162.,PT Balibiasa Indah Koleksi,"JALAN TANGKUBAN PERAHU GANG SD 13 NO. 15, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali Telp. (0361) 421029",14111
13163.,PT Balicitra Inti,"Jalan Desa Keroncong Dalam No. 210B RT 01/RW 04, Keroncong, Jatiuwung, Kota Tangerang, Banten Telp. 02178835137",18111
13164.,PT Balifoam Nusamegah,"JL. JENDERAL SUDIRMAN NO.81, Rembiga, Selaprang, Kota Mataram, Nusa Tenggara Barat Telp. 0370646101",31004
13165.,PT Balifoam Nusamegah,"Jl.By Pass Ngurah Rai No.34, Pedungan, Denpasar Selatan, Kota Denpasar, Bali Telp. 0361720442",31004
13166.,PT BALIHAI BREWERY INDONESIA,"JL. RAYA TAMBUN BEKASI KM. 39,7, Setiamekar, Tambun Selatan, Kabupaten Bekasi, Jawa Barat Telp. 021 - 8804234",11031
13167.,PT Balikpapan Chip Lestari,"Telukwaru RT.09, Kariangau, Balikpapan  Barat, Kota Balikpapan, Kalimantan Timur Telp. 05427582002",16101
13168.,PT BALIKPAPAN FOREST INDUSTRIES,"Kelurahan Jenebora, Kecamatan Penajam, Kabupaten Penajam Paser Utara, Jenebora, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur Telp. (0542) 7587777-9",16211
13169.,PT Balikpapan Ready Mix Pile,"Jl. Sultan Hasanuddin RT 07, Kariangau, Balikpapan  Barat, Kota Balikpapan, Kalimantan Timur Telp. 0542-7588278",23953
13170.,PT Balikpapan Readymix,"JL. Mulawarman RT. 23 No. 16, Manggar, Balikpapan  Timur, Kota Balikpapan, Kalimantan Timur Telp. 0542-762646",23957
13171.,PR Balilah Kerudung,"Jl. Lingkar selatan 1, Paal Merah, Paal Merah, Kota Jambi, Jambi Telp. 082*********",14120
13172.,PT Balina Industrial Perkasa,"JALAN RAYA BEKASI KM. 24, Cakung Timur, Cakung, Kota Jakarta Timur, DKI Jakarta Telp. (021)4600786",25940
13173.,PT Balindo Citra Metal,"KOMP. CITRA BUANA CENTRE PARK BLOK.C NO.12, KAMPUNG PELITA, LUBUK BAJA, Kota Batam, Kepulauan Riau Telp. 0778-495031",25920
13174.,PT Balindo Manunggal Bersama,"jl hasanudin 80 palu, lolu utara, palu timur, Kota Palu, Sulawesi Tengah Telp. 081*******",45201
13175.,PT BALINDO MITRA PERKASA,"Banjar Dinas Dharma, Tukadmungga, Buleleng, Kabupaten Buleleng, Bali Telp. (0362) 7005252",11020
13176.,PT BALING TECHNOLOGY INDONESIA,"KAWASAN GREENLAND INTERNATIONAL INDUSTRIAL CENTER (GIIC) KOTA DELTAMAS BLOK BA NO.2 PLAN.3, SUKAMAHI, CIKARANG PUSAT, Kabupaten Bekasi, Jawa Barat Telp. 021-31100932",29300
13177.,PT Balinusa Windumas,"JL IKAN TUNA II NO. 1 PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, Kota Denpasar, Bali Telp. 0361722688",10219
13178.,PR Balio Nyamikan,Telp.,
13179.,PT Balistha Gapal Nandya,Telp.,
13180.,PT Balistha Gapala Nandya,"Dsn. Meduran Asrikaton RT/RW 001/008, Pakis, Malang, Desa Asrikaton, Pakis, Kabupaten Malang, Jawa Timur Telp. -",28160
13141.,PR Bali Rajut,"Lingkungan Pangkung Gondang, Desa Sangkaragung Jembrana, Sangkaragung, Jembrana, Kabupaten Jembrana, Bali Telp. 081*********",13924
13142.,PT Bali Rambut Mandiri,"Sidembunut, Cempaga, Bangli, Kabupaten Bangli, Bali Telp. 081********",22299
13143.,PT BALI SARI,"Jl. Purba Indah No 25 Penamparan, Padangsambian, Denpasar Barat, Kota Denpasar, Bali Telp. 03619005107",20232
13144.,PT Bali Sentra Baja,"JL. RAYA DENPASAR GILIMANUK NO. 47, Sudimara, Tabanan, Kabupaten Tabanan, Bali Telp. 03616201311",25112
13145.,PT BALI SOAP,"JL. BY PASS NGURAH RAI NO. 455 B, SESETAN, DENPASAR SELATAN, Kota Denpasar, Bali Telp. 03614481187",20231
13146.,PT Bali Summer Indonesia,"Jalan Muding Mundeh III Nomor 30, Kerobokan  Kaja, Kuta Utara, Kabupaten Badung, Bali Telp. 0361 3354628",14111
13147.,PT Bali Tangi,"Jl. Kebo Iwa Utara No. 168, Padang Sambian Kaja, Denpasar Barat, Kota Denpasar, Bali Telp. 0361415489",20232
13148.,PT Bali Taru Utama,"Jl. Raya Serang Km 11,  RT 002 Rw 01, Bunder, Cikupa, Kabupaten Tangerang, Banten Telp. 021-59400123",32901
13149.,CV Bali Tedung Nusa Island,"Dusun Pangkung Jelati, Yeh Sumbul, Mendoyo, Kabupaten Jembrana, Bali Telp. +62 823-4041-3969",32903
13150.,PT Bali Tirta Bhuana,Telp.,
13151.,PT Bali Tobacco Factory,"Jl. Raya Gilimanuk Denpasar KM 80 No.1, Banjar Bonian, Antap, Selemadeg, Kabupaten Tabanan, Bali Telp. 03613458876",12099
13152.,PT Bali Tobacco Group,"Jl. Raya Gilimanuk KM 80 No. 1, Selemadeg, Tabanan, Kabupaten Tabanan, Bali Telp. 081*********",12019
13153.,PT Bali Toncity,"Jl.Imam Bonjol no.486, Pemecutan  Kelod, Denpasar Barat, Kota Denpasar, Bali Telp. 755210",31001
13154.,PT Bali Tonik Alami,"JL. MERTANADI NO. 1D, LINGK. TAMAN, KEROBOKAN KELOD, KUTA UTARA, Kabupaten Badung, Bali Telp. 081*********",11040
13155.,PT Bali Total Abundance,Telp.,
13156.,PT Bali Total Abundance,Telp.,
13157.,PT BALI TOWERINDO SENTRA,Telp.,
13158.,PT bali Untung Paris,Telp.,
13159.,PT Bali Wood Carving,Telp.,
13160.,PT Bali Ytka,"Banjar Pujung Kelod, Sebatu, Tegallalang, Kabupaten Gianyar, Bali Telp. -",20232
13121.,CV Bali Logam,Telp.,
13122.,PT Bali Manufacture Ind,"Perumahan Seminyak Asri no. 36. Jl. Kunti II, Seminyak, Kuta, Kabupaten Badung, Bali Telp. +62 812-3791-9041",14111
13123.,PT Bali Masala Chaitea,Telp.,
13124.,PT BALI MAYA PERMAI FOOD CANNING INDUSTRY,"Jalan Raya Pengambengan, Tegal Badeng Barat, Negara, Kabupaten Jembrana, Bali Telp. (0365) 42500",10221
13125.,PT Bali Moda Busana,"Jl. Jantuk Angsa No.11, Pererenan. Mengwi, Badung, Pererenan, Mengwi, Kabupaten Badung, Bali Telp. 03616200114",14111
13126.,PT Bali Moda Busana,"Jl. Mojo, Dusun Turisari, Dagen, Jaten, Kabupaten Karanganyar, Jawa Tengah Telp. 02716883165",14111
13127.,PT BALI MOON,"Banjar Pering, Pering, Blahbatuh, Kabupaten Gianyar, Bali Telp. +62361 4797588",11020
13128.,PT Bali Moon Keramik,"Jalan By Pass Ngurah Rai No 144 Padang Galak, Kesiman Petilan, Denpasar Timur, Kota Denpasar, Bali Telp. 03614492523",23932
13129.,PT Bali Mukti Shoe Factory,"Jl. Cicukang No. 8, Cisaranten Binaharapan, Arcamanik, Kota Bandung, Jawa Barat Telp. 022-7801863",15209
13130.,PT Bali Mukti Shoe Factory,"Jalan Cicukang No.8 Cisaranten Wetan, Ujungberung, Cisaranten Bina
Harapan, Arcamanik, Kota Bandung, Jawa Barat Telp. 0227801863",15203
13131.,PT Bali Mukti Shoe Factory,"Jalan Cicukang no 8, Cisaranten Bina Harapan, Arcamanik, Kota Bandung, Jawa Barat Telp. 022-7801863",15209
13132.,CV Bali Nature,Telp.,
13133.,PR Bali Nature,"Jalan Nuansa Udayana I Nomor 19, Jimbaran, Kuta Selatan, Kabupaten Badung, Bali Telp. 03614467596",20232
13134.,PT Bali Nirmala,"JALAN KEBO IWA GG. GUNUNG PATAS NO. 16 C, Padang Sambian Kaja, Denpasar Barat, Kota Denpasar, Bali Telp. 085*********",14111
13135.,PT Bali Nirwana Garments,"Jalan Hos cokroaminoto RT02/RW01, Kreo Selatan, Larangan, Kota Tangerang, Banten Telp. 021 7365312",14111
13136.,CV Bali Nusa,"JL. WR SUPRATMAN NO. 230 DENPASAR, Kesiman Kertalangu, Denpasar Timur, Kota Denpasar, Bali Telp. (0361) 236472",13122
